timestamp,roll,pitch,yaw
1563815718539888,-0.259226,0.715363,-2.36742
1563815718554878,-0.279054,0.743828,-2.38005
1563815718585861,-0.299566,0.770518,-2.39415
1563815718600852,-0.31937,0.795165,-2.40891
1563815718616843,-0.338057,0.817984,-2.42368
1563815718638830,-0.355493,0.838974,-2.43835
1563815718659819,-0.37172,0.858219,-2.45295
1563815718674810,-0.38692,0.876535,-2.46755
1563815718729778,-0.401405,0.89345,-2.48139
1563815718731777,-0.415751,0.908937,-2.49481
1563815718739772,-0.429759,0.922926,-2.50758
1563815718759761,-0.44321,0.935292,-2.51964
1563815718779750,-0.455239,0.946378,-2.53073
1563815718842713,-0.466612,0.956288,-2.54175
1563815718842713,-0.478338,0.965571,-2.55345
1563815718843712,-0.489392,0.97401,-2.56436
1563815718862701,-0.500714,0.981678,-2.57455
1563815718877693,-0.511631,0.987998,-2.58379
1563815718901679,-0.523293,0.993857,-2.59331
1563815718917670,-0.534549,0.998828,-2.60242
1563815718944655,-0.542817,1.00116,-2.6094
1563815718954649,-0.553515,1.00522,-2.61874
1563815718977636,-0.561064,1.0067,-2.62455
1563815718997623,-0.569188,1.00919,-2.63039
1563815719014615,-0.575968,1.01125,-2.635
1563815719037601,-0.581188,1.01294,-2.63884
1563815719057591,-0.585207,1.01399,-2.64209
1563815719082575,-0.588546,1.01515,-2.64489
1563815719105562,-0.5919,1.0163,-2.64771
1563815719117558,-0.595227,1.01745,-2.65041
1563815719135545,-0.598427,1.01886,-2.65291
1563815719157535,-0.601149,1.01985,-2.65506
1563815719177521,-0.601329,1.02011,-2.65517
1563815719195511,-0.601899,1.02045,-2.6557
1563815719217498,-0.602096,1.02152,-2.65597
1563815719237487,-0.602453,1.02221,-2.65614
1563815719262472,-0.603144,1.02304,-2.65603
1563815719277464,-0.6048,1.0234,-2.6569
1563815719306448,-0.605015,1.02357,-2.65704
1563815719315442,-0.605551,1.02374,-2.6575
1563815719336429,-0.60629,1.02405,-2.65777
1563815719359416,-0.607431,1.02414,-2.65787
1563815719381404,-0.608706,1.02421,-2.6579
1563815719396396,-0.60995,1.0243,-2.65812
1563815719417383,-0.609707,1.02409,-2.65731
1563815719434374,-0.608902,1.02355,-2.65631
1563815719456361,-0.608308,1.02336,-2.65537
1563815719477349,-0.607915,1.02288,-2.65426
1563815719494339,-0.607942,1.02264,-2.6533
1563815719516327,-0.607414,1.02234,-2.6522
1563815719553305,-0.607435,1.02223,-2.65189
1563815719568296,-0.607712,1.0223,-2.65186
1563815719576293,-0.608336,1.02252,-2.65189
1563815719598279,-0.608967,1.02301,-2.65197
1563815719614271,-0.609006,1.02319,-2.65205
1563815719636258,-0.60922,1.02336,-2.65218
1563815719658246,-0.61057,1.02323,-2.6533
1563815719674246,-0.612301,1.02317,-2.6545
1563815719697223,-0.614654,1.02281,-2.65595
1563815719719210,-0.615852,1.02215,-2.65703
1563815719733202,-0.617026,1.02178,-2.65835
1563815719757189,-0.618755,1.02147,-2.65982
1563815719779176,-0.620224,1.02106,-2.66079
1563815719794168,-0.6222,1.0209,-2.66221
1563815719823150,-0.623472,1.0206,-2.66343
1563815719839142,-0.624142,1.0205,-2.66409
1563815719862129,-0.624731,1.02029,-2.66432
1563815719883116,-0.625132,1.02007,-2.66416
1563815719899108,-0.625379,1.02015,-2.66432
1563815719922094,-0.625556,1.02014,-2.66438
1563815719943082,-0.625804,1.02022,-2.66454
1563815719959073,-0.625775,1.02031,-2.66453
1563815719982060,-0.62727,1.02006,-2.66524
1563815720003048,-0.629119,1.01978,-2.66609
1563815720027034,-0.630613,1.01953,-2.66681
1563815720043024,-0.631754,1.01913,-2.66746
1563815720063017,-0.631974,1.0193,-2.6676
1563815720079004,-0.631974,1.0193,-2.6676
1563815720101992,-0.632264,1.01955,-2.66784
1563815720122981,-0.632194,1.01946,-2.66774
1563815720138970,-0.632556,1.01964,-2.66814
1563815720161956,-0.632556,1.01964,-2.66814
1563815720189941,-0.632959,1.02005,-2.66808
1563815720204932,-0.633207,1.02013,-2.66824
1563815720221922,-0.633249,1.02031,-2.66832
1563815720243909,-0.633153,1.01993,-2.66783
1563815720258900,-0.633596,1.0199,-2.66775
1563815720281889,-0.63436,1.01985,-2.66798
1563815720304876,-0.635269,1.01964,-2.66853
1563815720318866,-0.636325,1.01968,-2.66906
1563815720341853,-0.63731,1.0198,-2.66944
1563815720363841,-0.63731,1.0198,-2.66944
1563815720378832,-0.637283,1.01989,-2.66943
1563815720401819,-0.637575,1.02015,-2.66966
1563815720423808,-0.637575,1.02015,-2.66966
1563815720438797,-0.637796,1.02032,-2.66981
1563815720467781,-0.637796,1.02032,-2.66981
1563815720490767,-0.638616,1.02029,-2.67052
1563815720498764,-0.63859,1.02038,-2.6705
1563815720521750,-0.639881,1.02061,-2.67152
1563815720543737,-0.64013,1.02069,-2.67168
1563815720565725,-0.640103,1.02078,-2.67166
1563815720581716,-0.640352,1.02086,-2.67182
1563815720604701,-0.640352,1.02086,-2.67182
1563815720618695,-0.640424,1.02077,-2.67198
1563815720641683,-0.640717,1.02103,-2.67222
1563815720664670,-0.640717,1.02103,-2.67222
1563815720678659,-0.640647,1.02094,-2.67213
1563815720701647,-0.641948,1.0208,-2.67309
1563815720731628,-0.643402,1.02075,-2.67411
1563815720746620,-0.644882,1.0206,-2.67515
1563815720769610,-0.645836,1.02056,-2.67578
1563815720784599,-0.646907,1.02062,-2.67665
1563815720806586,-0.646907,1.02062,-2.67665
1563815720821597,-0.646907,1.02062,-2.67665
1563815720844564,-0.646952,1.02079,-2.67672
1563815720865572,-0.647131,1.02078,-2.67679
1563815720881545,-0.647176,1.02096,-2.67687
1563815720904531,-0.647176,1.02096,-2.67687
1563815720926517,-0.647141,1.0208,-2.67712
1563815720947509,-0.647069,1.02065,-2.67756
1563815720964496,-0.647131,1.0203,-2.67798
1563815720985503,-0.64702,1.01968,-2.67775
1563815721001476,-0.64737,1.01922,-2.67803
1563815721025461,-0.647528,1.0187,-2.67862
1563815721048448,-0.64739,1.0181,-2.67891
1563815721061440,-0.647973,1.01765,-2.67973
1563815721084428,-0.648643,1.01701,-2.68039
1563815721105418,-0.649473,1.01664,-2.68136
1563815721121407,-0.65125,1.01623,-2.68296
1563815721144394,-0.654245,1.01559,-2.68542
1563815721166382,-0.658267,1.01472,-2.68834
1563815721181371,-0.662526,1.01357,-2.69134
1563815721205358,-0.666505,1.01242,-2.69416
1563815721226365,-0.670344,1.01129,-2.69706
1563815721249333,-0.674223,1.01034,-2.70003
1563815721264324,-0.678106,1.00991,-2.70298
1563815721287311,-0.681867,1.00921,-2.70577
1563815721301302,-0.685093,1.00889,-2.70809
1563815721338281,-0.687934,1.00849,-2.71002
1563815721346295,-0.689343,1.00817,-2.71126
1563815721361268,-0.690342,1.00831,-2.71228
1563815721384255,-0.690342,1.00831,-2.71228
1563815721407242,-0.690394,1.00849,-2.71236
1563815721421236,-0.69071,1.00848,-2.71268
1563815721444221,-0.690642,1.00839,-2.7126
1563815721467208,-0.690658,1.0083,-2.7126
1563815721481203,-0.690658,1.0083,-2.7126
1563815721504186,-0.690642,1.00839,-2.7126
1563815721527178,-0.690642,1.00839,-2.7126
1563815721548161,-0.69089,1.00847,-2.71275
1563815721564152,-0.690957,1.00838,-2.71291
1563815721570152,-0.690957,1.00838,-2.71291
1563815721600135,-0.690957,1.00838,-2.71291
1563815721615123,-0.691206,1.00846,-2.71307
1563815721637131,-0.691206,1.00846,-2.71307
1563815721652104,-0.690957,1.00838,-2.71291
1563815721669091,-0.691206,1.00846,-2.71307
1563815721693078,-0.691206,1.00846,-2.71307
1563815721712067,-0.69148,1.00817,-2.71297
1563815721729057,-0.691796,1.00816,-2.71328
1563815721750049,-0.692219,1.0076,-2.7135
1563815721772052,-0.692828,1.00705,-2.71412
1563815721789024,-0.693588,1.00702,-2.71466
1563815721817007,-0.694896,1.00713,-2.71567
1563815721832018,-0.694963,1.00705,-2.71583
1563815721855985,-0.694947,1.00714,-2.71583
1563815721869977,-0.694947,1.00714,-2.71583
1563815721893964,-0.695196,1.00721,-2.71599
1563815721908954,-0.695196,1.00721,-2.71599
1563815721929942,-0.695196,1.00721,-2.71599
1563815721951949,-0.695196,1.00721,-2.71599
1563815721968939,-0.695196,1.00721,-2.71599
1563815721989926,-0.695445,1.00729,-2.71614
