timestamp,x,y,z,w
1563815718539888,0.275757,0.243164,-0.843079,0.392578
1563815718554878,0.28595,0.254028,-0.837708,0.389771
1563815718585861,0.295471,0.264404,-0.832581,0.386719
1563815718600852,0.304382,0.273804,-0.82782,0.383545
1563815718616843,0.312805,0.282227,-0.823303,0.380371
1563815718638830,0.32074,0.289673,-0.819092,0.377197
1563815718659819,0.328186,0.296204,-0.815247,0.374023
1563815718674810,0.335449,0.302002,-0.811646,0.37085
1563815718729778,0.342224,0.307312,-0.808105,0.36792
1563815718731777,0.348328,0.312317,-0.80481,0.365295
1563815718739772,0.353821,0.317017,-0.801636,0.362915
1563815718759761,0.358643,0.32135,-0.798706,0.360779
1563815718779750,0.363037,0.325073,-0.796082,0.358826
1563815718842713,0.367065,0.328369,-0.793762,0.356812
1563815718842713,0.37085,0.331543,-0.791687,0.354675
1563815718843712,0.374329,0.334473,-0.789673,0.352722
1563815718862701,0.377319,0.337524,-0.787659,0.351135
1563815718877693,0.379639,0.340454,-0.785889,0.349854
1563815718901679,0.381775,0.343567,-0.783997,0.348572
1563815718917670,0.383484,0.346497,-0.78241,0.347412
1563815718944655,0.384277,0.348511,-0.781555,0.346375
1563815718954649,0.385742,0.351074,-0.780334,0.345032
1563815718977636,0.386108,0.352966,-0.779602,0.344299
1563815718997623,0.38678,0.355103,-0.778564,0.34375
1563815719014615,0.387329,0.356934,-0.777588,0.343384
1563815719037601,0.387817,0.358276,-0.776917,0.343018
1563815719057591,0.388184,0.359253,-0.776428,0.34259
1563815719082575,0.388611,0.360046,-0.776001,0.342224
1563815719105562,0.389038,0.36084,-0.775574,0.341858
1563815719117558,0.389404,0.361633,-0.775208,0.341553
1563815719135545,0.389893,0.362427,-0.774719,0.341309
1563815719157535,0.390259,0.363098,-0.774292,0.341064
1563815719177521,0.390381,0.363159,-0.77417,0.341064
1563815719195511,0.390503,0.363281,-0.774109,0.341003
1563815719217498,0.390991,0.363342,-0.773804,0.341003
1563815719237487,0.391235,0.363464,-0.773621,0.341064
1563815719262472,0.391418,0.36377,-0.773315,0.341309
1563815719277464,0.391479,0.364258,-0.77301,0.341309
1563815719306448,0.391541,0.364319,-0.772949,0.341309
1563815719315442,0.391602,0.364441,-0.772888,0.341248
1563815719336429,0.391663,0.364685,-0.772705,0.341309
1563815719359416,0.391541,0.365112,-0.772461,0.341492
1563815719381404,0.391357,0.365601,-0.772217,0.341736
1563815719396396,0.391174,0.366028,-0.772095,0.341919
1563815719417383,0.390991,0.366089,-0.772034,0.342163
1563815719434374,0.390747,0.365967,-0.772095,0.342346
1563815719456361,0.390564,0.365906,-0.772156,0.34259
1563815719477349,0.390259,0.365967,-0.772095,0.342896
1563815719494339,0.389954,0.36615,-0.772034,0.343262
1563815719516327,0.389709,0.36615,-0.772034,0.343567
1563815719553305,0.389587,0.366211,-0.772034,0.343689
1563815719568296,0.389587,0.366333,-0.771912,0.34375
1563815719576293,0.389587,0.366577,-0.771729,0.343872
1563815719598279,0.389709,0.366821,-0.771484,0.343994
1563815719614271,0.389771,0.366821,-0.771484,0.343994
1563815719636258,0.389832,0.366882,-0.771423,0.343994
