timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1564164021151856,-88,7,18,11,-1,-1,-18,-40
1564164021151856,45,1,-7,-17,-20,2,7,10
1564164021173815,-26,4,6,26,18,-1,-6,-2
1564164021173815,4,-2,1,-8,-15,-3,-6,2
1564164021174813,-51,-34,-7,20,3,-5,1,-1
1564164021174813,38,24,1,5,1,2,-1,-2
1564164021188787,-6,17,-6,-32,-7,-10,-19,-25
1564164021188787,76,45,16,20,7,4,8,20
1564164021189785,-27,-6,-16,-20,-12,-11,14,9
1564164021189785,42,0,6,6,7,9,9,17
1564164021211245,-29,-8,-1,-10,-8,-3,1,-1
1564164021211245,-15,-8,1,14,15,8,-9,-12
1564164021212243,51,20,3,-12,-9,-3,-2,6
1564164021212243,-86,-28,-7,17,1,-9,-6,-34
1564164021242188,-19,-11,7,-19,-14,-5,-1,4
1564164021242188,-5,-5,-5,-7,3,-1,-3,7
1564164021242687,44,40,8,13,9,5,-1,-14
1564164021242687,-39,-36,-5,0,-6,-7,-22,1
1564164021248675,57,5,-7,12,8,2,19,6
1564164021248675,-50,-20,-5,-20,-4,-3,8,-2
1564164021249674,-13,-2,0,17,1,9,9,0
1564164021249674,5,-4,-4,-31,-16,-16,-15,-10
1564164021271133,-40,-7,5,10,10,16,13,-20
1564164021271133,0,6,8,17,-12,-9,-17,-5
1564164021272132,15,-12,-24,-15,10,4,28,16
1564164021272132,28,9,3,-9,-8,1,4,6
1564164021295088,-36,-11,-7,-13,-4,2,4,-4
1564164021295088,44,32,3,7,-2,-12,-17,-9
1564164021295588,-19,-13,15,15,13,4,-23,-4
1564164021295588,37,16,8,-8,-5,2,21,8
1564164021308564,-6,-38,-23,-2,7,1,4,12
1564164021308564,-59,10,2,-8,-1,1,0,-19
1564164021309563,46,-6,12,22,-10,-1,1,21
1564164021309563,5,9,-6,-1,16,0,-20,-12
1564164021331521,76,32,7,-19,-6,0,14,27
1564164021331521,-80,1,4,19,3,5,-4,-19
1564164021332021,60,-20,-14,-31,-24,-11,-26,13
1564164021332021,7,-4,-7,20,20,8,30,10
1564164021354478,4,-15,-6,-5,-6,-4,-14,3
1564164021354478,52,7,-5,5,0,2,14,16
1564164021355477,-19,10,4,-23,1,0,-9,-20
1564164021355477,-25,-15,-9,1,-12,-8,-24,-12
1564164021369451,-6,13,10,21,3,10,30,21
1564164021369451,44,-15,-20,-41,-3,-5,6,0
1564164021369950,-20,22,14,31,-1,-11,-20,-8
1564164021369950,46,-32,-24,-26,-7,-7,-10,-4
1564164021391411,-72,39,14,-7,-15,-6,-20,-36
1564164021391411,31,-28,4,35,29,13,28,25
1564164021391910,-12,8,1,-5,-4,-4,3,-6
1564164021391910,-47,2,0,-1,-3,0,1,-6
1564164021414367,51,11,6,-20,-17,-12,-32,7
1564164021414367,2,12,-3,-9,0,7,19,12
1564164021415365,-88,-36,-4,-5,-8,-6,-12,-35
1564164021415365,38,4,6,30,23,5,-3,4
1564164021428841,13,-2,-4,-12,-5,-4,10,0
1564164021428841,14,12,3,-1,-10,-2,-10,17
1564164021429340,-44,-13,-3,5,8,5,3,-16
1564164021429340,0,13,4,-2,-13,-3,-11,1
1564164021451299,13,-20,-11,3,2,-3,2,-6
1564164021451299,-3,-6,3,12,14,0,-19,-2
1564164021451798,-32,-3,-6,-11,-1,2,19,-8
1564164021451798,-40,11,7,-10,-3,5,-6,-10
1564164021474256,26,8,-4,16,1,-6,12,17
1564164021474256,-18,-10,6,-25,-11,-2,-1,-14
1564164021475255,-2,1,-4,0,-14,-6,-7,-15
1564164021475255,21,9,2,-4,11,-4,-3,9
1564164021488729,-45,-4,0,29,14,1,-5,-13
1564164021488729,18,-16,-5,-26,-11,-4,-7,-4
1564164021489727,-6,-5,-4,17,-1,-5,-15,0
1564164021489727,-10,-15,-3,-10,-13,-11,1,-4
1564164021519673,42,20,-11,-1,3,3,3,8
1564164021519673,-56,-5,6,-4,-1,-2,0,-17
1564164021520172,30,22,1,-7,-3,-4,-18,3
1564164021520172,-20,-24,-14,5,-4,0,23,0
1564164021534644,-17,-17,-4,-12,-6,-6,-21,-16
1564164021534644,6,7,11,7,-10,-7,-11,-7
1564164021535143,33,15,-11,-14,11,1,7,12
1564164021535143,12,-4,4,12,12,11,13,8
1564164021548618,-3,-1,-1,-5,0,5,-1,-4
1564164021548618,14,25,10,26,-2,-8,-10,18
1564164021549617,14,-17,-7,-15,2,-2,1,-1
1564164021549617,18,8,-1,-24,-12,-4,-22,-11
1564164021571576,10,-12,-10,10,2,7,33,21
1564164021571576,23,-3,-7,-2,1,4,-12,-1
1564164021572574,-48,19,13,-8,-6,-2,9,10
1564164021572574,9,7,11,26,11,8,6,-9
1564164021594533,-21,-16,-1,-40,-8,-9,-33,-18
1564164021594533,50,13,2,30,13,9,38,36
1564164021595531,-26,-17,-12,-23,-10,-5,-11,-18
1564164021595531,10,10,8,28,10,3,10,28
1564164021609008,-10,0,-4,-2,1,1,0,-26
1564164021609008,-19,-1,-11,-7,-9,-8,-10,-9
1564164021609505,54,4,2,-17,-11,-9,-32,1
1564164021609505,-26,-10,-8,-1,-3,8,29,10
