timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1563815718732781,0,-1,0,0,0,1,-1,3
1563815718732781,0,-1,-3,-3,-3,-2,11,-1
1563815718736775,-2,-1,-2,0,-1,-1,-5,-2
1563815718736775,-2,-3,-4,-3,0,-9,3,-1
1563815718737774,0,0,1,2,2,6,-5,-1
1563815718737774,1,-1,3,2,2,-1,-2,1
1563815718738775,0,-2,-2,-1,-2,-2,4,1
1563815718738775,0,-2,-4,-3,-5,-7,9,2
1563815718743771,0,0,-4,-7,-4,1,-6,-3
1563815718743771,-1,-2,-3,-1,-1,0,-4,-1
1563815718758761,0,0,2,1,3,-4,-2,-1
1563815718758761,-2,0,2,3,5,7,-3,-1
1563815718764758,-1,-1,-4,-5,-8,-8,5,1
1563815718764758,0,0,0,2,-1,1,-13,-2
1563815718773753,-1,-2,-3,-3,-1,9,2,1
1563815718773753,-2,-2,0,-5,-6,-17,6,-3
1563815718788745,0,2,4,2,5,9,-24,-6
1563815718788745,-3,0,1,-1,0,1,2,-2
1563815718803735,0,-2,-3,-2,-2,-3,1,-1
1563815718803735,-1,-1,0,3,2,-1,-4,0
1563815718844712,2,1,0,-1,-1,3,7,4
1563815718844712,1,0,0,0,4,15,-6,-2
1563815718848712,-1,-1,0,-4,-4,-10,-6,-3
1563815718848712,0,-1,0,0,-3,-4,23,3
1563815718849709,-2,1,0,-1,1,-4,-11,-2
1563815718849709,0,1,1,3,1,4,-12,-2
1563815718849709,0,-1,-2,-1,2,6,2,-2
1563815718849709,0,-1,-2,-2,-1,-3,-1,-3
1563815718854706,0,-1,1,0,0,3,-1,-2
1563815718854706,-2,-1,-1,-3,-2,-9,8,3
1563815718863701,0,0,0,-1,-2,1,-2,1
1563815718863701,0,-1,-1,-3,-2,6,-13,-2
1563815718869698,1,0,-3,-2,-1,-1,5,-1
1563815718869698,0,0,1,-2,0,-4,-2,-4
1563815718885689,-2,0,-3,-3,-6,-4,12,1
1563815718885689,-3,-1,-3,-1,-3,-9,-18,-3
