timestamp,x,y,z
1564164020265503,-0.234375,-0.103027,0.89209
1564164020288461,-0.230469,-0.0908203,0.878906
1564164020310919,-0.240723,-0.0898438,0.87207
1564164020333376,-0.253906,-0.107422,0.847656
1564164020348348,-0.231934,-0.116211,0.867188
1564164020370807,-0.217285,-0.0932617,0.894531
1564164020393266,-0.214355,-0.090332,0.904297
1564164020408737,-0.243652,-0.0766602,0.895996
1564164020430695,-0.254395,-0.0693359,0.856445
1564164020462137,-0.255371,-0.11377,0.867188
1564164020468625,-0.231934,-0.133789,0.878906
1564164020492081,-0.219727,-0.137695,0.875488
1564164020513542,-0.23877,-0.142578,0.876953
1564164020528514,-0.244141,-0.140625,0.876953
1564164020554965,-0.236816,-0.158691,0.894043
1564164020581915,-0.243164,-0.150391,0.885254
1564164020590898,-0.246094,-0.155273,0.887695
1564164020598386,-0.23877,-0.163086,0.891113
1564164020618847,-0.245117,-0.163086,0.889648
1564164020642802,-0.253906,-0.144531,0.871582
1564164020665759,-0.243652,-0.156738,0.883789
1564164020718161,-0.245605,-0.169434,0.881836
1564164020719160,-0.251465,-0.16748,0.882813
1564164020725152,-0.242188,-0.159668,0.881836
1564164020740121,-0.243652,-0.162109,0.879883
1564164020761581,-0.23877,-0.166992,0.883789
1564164020775555,-0.252441,-0.160156,0.876465
1564164020798013,-0.236328,-0.17334,0.879395
1564164020820476,-0.246582,-0.15625,0.878906
1564164020835942,-0.243164,-0.155762,0.871582
1564164020858401,-0.248535,-0.155273,0.870605
1564164020889343,-0.238281,-0.173828,0.870117
1564164020895831,-0.229004,-0.172852,0.880859
1564164020918289,-0.235352,-0.150391,0.881348
1564164020940749,-0.240723,-0.151855,0.875488
1564164020963206,-0.246094,-0.171387,0.872559
1564164020978178,-0.234375,-0.173828,0.879395
1564164021000636,-0.240723,-0.162598,0.881836
1564164021018603,-0.241699,-0.150391,0.873047
1564164021038068,-0.242676,-0.164063,0.873535
1564164021060525,-0.242188,-0.17041,0.882813
1564164021075497,-0.247559,-0.161621,0.878418
1564164021097957,-0.244629,-0.158203,0.876465
1564164021120416,-0.249512,-0.158203,0.888672
1564164021135885,-0.248047,-0.158203,0.87793
1564164021165829,-0.243652,-0.166504,0.869629
1564164021180802,-0.255859,-0.162109,0.875488
1564164021195774,-0.253418,-0.161133,0.874023
1564164021218232,-0.242188,-0.161133,0.873535
1564164021243685,-0.237305,-0.167969,0.871094
1564164021255662,-0.245117,-0.164551,0.872559
1564164021278121,-0.242676,-0.166016,0.873047
1564164021296587,-0.243652,-0.168457,0.875
1564164021315551,-0.248535,-0.171875,0.868652
