timestamp,roll,pitch,yaw
1564164020265503,-0.128208,0.225888,0.691852
1564164020288461,-0.12719,0.227626,0.692054
1564164020310919,-0.126446,0.229026,0.693105
1564164020333376,-0.126695,0.230091,0.694909
1564164020348348,-0.12628,0.230109,0.696532
1564164020370807,-0.12532,0.229975,0.697397
1564164020393266,-0.126092,0.230486,0.697058
1564164020408737,-0.129552,0.232465,0.697484
1564164020430695,-0.135753,0.233851,0.697523
1564164020462137,-0.144225,0.234103,0.697398
1564164020468625,-0.15151,0.233265,0.697298
1564164020492081,-0.156796,0.231956,0.696191
1564164020513542,-0.159929,0.231684,0.69621
1564164020528514,-0.163144,0.23163,0.695648
1564164020554965,-0.16677,0.231388,0.694447
1564164020581915,-0.169539,0.231628,0.693408
1564164020590898,-0.171831,0.232086,0.692398
1564164020598386,-0.17396,0.232534,0.691798
1564164020618847,-0.175019,0.233769,0.691253
1564164020642802,-0.176069,0.235019,0.690852
1564164020665759,-0.177934,0.235696,0.690773
1564164020718161,-0.179668,0.236834,0.690585
1564164020719160,-0.180244,0.237815,0.690469
1564164020725152,-0.1806,0.238625,0.690658
1564164020740121,-0.181432,0.239703,0.690559
1564164020761581,-0.182483,0.240779,0.690812
1564164020775555,-0.183204,0.242384,0.691043
1564164020798013,-0.183865,0.243159,0.691103
1564164020820476,-0.18348,0.2445,0.691441
1564164020835942,-0.183549,0.24575,0.691788
1564164020858401,-0.184509,0.246683,0.692191
1564164020889343,-0.18542,0.247043,0.69235
1564164020895831,-0.184991,0.247129,0.692231
1564164020918289,-0.184061,0.247561,0.692176
1564164020940749,-0.184109,0.248136,0.692421
1564164020963206,-0.185088,0.248279,0.692722
1564164020978178,-0.185246,0.247718,0.692973
1564164021000636,-0.184461,0.2477,0.693058
1564164021018603,-0.184302,0.247773,0.693068
1564164021038068,-0.185009,0.248024,0.692985
1564164021060525,-0.185621,0.248225,0.692799
1564164021075497,-0.185583,0.248342,0.6928
1564164021097957,-0.185544,0.248459,0.692801
1564164021120416,-0.185478,0.248581,0.692914
1564164021135885,-0.185439,0.248697,0.692915
1564164021165829,-0.1854,0.248814,0.692917
1564164021180802,-0.185443,0.24909,0.692911
1564164021195774,-0.185172,0.249199,0.692527
1564164021218232,-0.185086,0.249228,0.692022
1564164021243685,-0.185145,0.249174,0.691474
1564164021255662,-0.185005,0.24931,0.690938
1564164021278121,-0.185013,0.249389,0.690536
1564164021296587,-0.185384,0.249599,0.69011
1564164021315551,-0.185651,0.250047,0.689799
1564164021338010,-0.185612,0.250163,0.6898
1564164021355976,-0.185694,0.250323,0.689793
1564164021375439,-0.185935,0.25041,0.689776
1564164021398397,-0.186066,0.250437,0.689623
1564164021415865,-0.186066,0.250437,0.689623
1564164021435827,-0.186544,0.250218,0.689594
1564164021458285,-0.18683,0.249778,0.689436
1564164021476253,-0.186852,0.24938,0.689329
1564164021495717,-0.186836,0.249097,0.689223
1564164021521169,-0.187055,0.248509,0.689106
1564164021536142,-0.187006,0.247934,0.688861
1564164021555604,-0.187236,0.247329,0.6886
1564164021578064,-0.186961,0.246678,0.688405
1564164021596031,-0.186698,0.245916,0.688321
1564164021615494,-0.186507,0.245331,0.688376
1564164021637952,-0.186623,0.244981,0.688373
1564164021655919,-0.186683,0.244466,0.688266
1564164021676880,-0.186546,0.24414,0.688169
1564164021700337,-0.186139,0.243829,0.687944
1564164021721298,-0.185842,0.243577,0.687856
1564164021737767,-0.185945,0.243338,0.687742
1564164021760225,-0.185929,0.243328,0.687709
1564164021774698,-0.185994,0.243206,0.687597
1564164021798155,-0.185856,0.242881,0.6875
1564164021820115,-0.185806,0.242306,0.687256
1564164021834587,-0.185733,0.241859,0.687047
1564164021858043,-0.185687,0.241678,0.686798
1564164021880502,-0.185598,0.24122,0.686555
1564164021894476,-0.185535,0.240757,0.686201
1564164021917434,-0.185417,0.2404,0.685815
1564164021940390,-0.185315,0.240054,0.685462
1564164021954863,-0.185479,0.239572,0.685315
1564164021977821,-0.185577,0.23894,0.685208
1564164022001776,-0.185117,0.238003,0.685319
1564164022014752,-0.184416,0.237347,0.685261
1564164022037720,-0.183787,0.236866,0.68534
1564164022060168,-0.183498,0.236912,0.6855
1564164022075140,-0.183406,0.236768,0.685652
1564164022097598,-0.182941,0.236606,0.685717
1564164022120057,-0.182332,0.236094,0.685506
1564164022141517,-0.181597,0.235947,0.685442
1564164022157986,-0.181033,0.235344,0.685409
1564164022180444,-0.180746,0.235078,0.685176
1564164022201405,-0.180565,0.234478,0.685085
1564164022219380,-0.180754,0.233991,0.684827
1564164022240333,-0.181106,0.233335,0.684816
1564164022262791,-0.180959,0.233026,0.684863
1564164022278762,-0.180691,0.232674,0.684918
1564164022300222,-0.180927,0.232368,0.684909
1564164022322680,-0.181413,0.232132,0.68474
1564164022337652,-0.18161,0.231942,0.684732
1564164022360110,-0.18161,0.231942,0.684732
1564164022381570,-0.181572,0.232058,0.684732
1564164022404028,-0.182133,0.231902,0.684956
1564164022420497,-0.182416,0.231776,0.685196
1564164022441458,-0.181711,0.231528,0.685275
1564164022457930,-0.181696,0.231519,0.685241
1564164022480386,-0.181944,0.231901,0.685475
